timestamp,voltage,amperage,mAhdrawn,rssi,RC0,RC1,RC2,RC3,RC4,RC5,RC6,RC7,RC8,RC9,RC10,RC11,Debug0,Debug1,Debug2,Debug3
1442027633756,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027633857,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027633962,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634064,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634166,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634267,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634368,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634470,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634571,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634673,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634775,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634879,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027634983,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635083,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635184,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635284,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635386,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635488,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635589,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635690,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635794,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635895,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027635996,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027636101,0,-9.75,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027636201,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027636302,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027636404,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027636507,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027636612,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027636713,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027636816,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027636917,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027637018,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027637118,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027637219,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027637324,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
1442027637425,0,-9.77,0,511,1500,1500,1500,885,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
